Series id,Year,Period,Value,MoYr
LNS14000000,1962,Jun,5.5,1962-06-01
LNS14000000,1962,Jul,5.4,1962-07-01
LNS14000000,1962,Aug,5.7,1962-08-01
LNS14000000,1962,Sep,5.6,1962-09-01
LNS14000000,1962,Oct,5.4,1962-10-01
LNS14000000,1962,Nov,5.7,1962-11-01
LNS14000000,1962,Dec,5.5,1962-12-01
LNS14000000,1963,Jan,5.7,1963-01-01
LNS14000000,1963,Feb,5.9,1963-02-01
LNS14000000,1963,Mar,5.7,1963-03-01
LNS14000000,1963,Apr,5.7,1963-04-01
LNS14000000,1963,May,5.9,1963-05-01
LNS14000000,1963,Jun,5.6,1963-06-01
LNS14000000,1963,Jul,5.6,1963-07-01
LNS14000000,1963,Aug,5.4,1963-08-01
LNS14000000,1963,Sep,5.5,1963-09-01
LNS14000000,1963,Oct,5.5,1963-10-01
LNS14000000,1963,Nov,5.7,1963-11-01
LNS14000000,1963,Dec,5.5,1963-12-01
LNS14000000,1964,Jan,5.6,1964-01-01
LNS14000000,1964,Feb,5.4,1964-02-01
LNS14000000,1964,Mar,5.4,1964-03-01
LNS14000000,1964,Apr,5.3,1964-04-01
LNS14000000,1964,May,5.1,1964-05-01
LNS14000000,1964,Jun,5.2,1964-06-01
LNS14000000,1964,Jul,4.9,1964-07-01
LNS14000000,1964,Aug,5.0,1964-08-01
LNS14000000,1964,Sep,5.1,1964-09-01
LNS14000000,1964,Oct,5.1,1964-10-01
LNS14000000,1964,Nov,4.8,1964-11-01
LNS14000000,1964,Dec,5.0,1964-12-01
LNS14000000,1965,Jan,4.9,1965-01-01
LNS14000000,1965,Feb,5.1,1965-02-01
LNS14000000,1965,Mar,4.7,1965-03-01
LNS14000000,1965,Apr,4.8,1965-04-01
LNS14000000,1965,May,4.6,1965-05-01
LNS14000000,1965,Jun,4.6,1965-06-01
LNS14000000,1965,Jul,4.4,1965-07-01
LNS14000000,1965,Aug,4.4,1965-08-01
LNS14000000,1965,Sep,4.3,1965-09-01
LNS14000000,1965,Oct,4.2,1965-10-01
LNS14000000,1965,Nov,4.1,1965-11-01
LNS14000000,1965,Dec,4.0,1965-12-01
LNS14000000,1966,Jan,4.0,1966-01-01
LNS14000000,1966,Feb,3.8,1966-02-01
LNS14000000,1966,Mar,3.8,1966-03-01
LNS14000000,1966,Apr,3.8,1966-04-01
LNS14000000,1966,May,3.9,1966-05-01
LNS14000000,1966,Jun,3.8,1966-06-01
LNS14000000,1966,Jul,3.8,1966-07-01
LNS14000000,1966,Aug,3.8,1966-08-01
LNS14000000,1966,Sep,3.7,1966-09-01
LNS14000000,1966,Oct,3.7,1966-10-01
LNS14000000,1966,Nov,3.6,1966-11-01
LNS14000000,1966,Dec,3.8,1966-12-01
LNS14000000,1967,Jan,3.9,1967-01-01
LNS14000000,1967,Feb,3.8,1967-02-01
LNS14000000,1967,Mar,3.8,1967-03-01
LNS14000000,1967,Apr,3.8,1967-04-01
LNS14000000,1967,May,3.8,1967-05-01
LNS14000000,1967,Jun,3.9,1967-06-01
LNS14000000,1967,Jul,3.8,1967-07-01
LNS14000000,1967,Aug,3.8,1967-08-01
LNS14000000,1967,Sep,3.8,1967-09-01
LNS14000000,1967,Oct,4.0,1967-10-01
LNS14000000,1967,Nov,3.9,1967-11-01
LNS14000000,1967,Dec,3.8,1967-12-01
LNS14000000,1968,Jan,3.7,1968-01-01
LNS14000000,1968,Feb,3.8,1968-02-01
LNS14000000,1968,Mar,3.7,1968-03-01
LNS14000000,1968,Apr,3.5,1968-04-01
LNS14000000,1968,May,3.5,1968-05-01
LNS14000000,1968,Jun,3.7,1968-06-01
LNS14000000,1968,Jul,3.7,1968-07-01
LNS14000000,1968,Aug,3.5,1968-08-01
LNS14000000,1968,Sep,3.4,1968-09-01
